সিলভারি নগর, যেন এক রাজবাড়ি
 ২০০৮-এর শরতে প্রথমবারের মতো এবারডিনে গিয়ে ইউনিয়ন স্ট্রিটের সৌন্দর্যে অভিভূত হয়ে অবাক চোখে একটা সড়ক
 আগুন জ্বালিয়ে সারা রাত পার করেছিলাম বন্ধু কেইট ও জোর সঙ্গে। ঢেউয়ের গর্জন আর চাঁদের
 আলোয় সমুদ্রের বিশালতার অনন্য রূপের প্রতি এক অজানা নেশা ভর করেছিল আমাদের মাঝে।ভোরের দিকে দেখলাম
 এক আজব দৃশ্য! উত্তর মহাসাগরের দক্ষিণ-পূর্ব কোণ থেকে যখন লাল সূর্য উঠছিল, তখন বিশাল এক
 জাহাজ নগরের দিকে আসছিল। দেখে মনে হচ্ছিল যেন জাহাজের মাঝখানে সূর্যটাকে রাখা হয়েছে। আর সেই
 সূর্যকে বহন করে নগরের দিকে ধেয়ে আসছে জাহাজটি। ঘড়ির কাঁটা জানিয়ে দিল তখন প্রায় ভোর
 পৌনে চারটা। এমন দৃশ্যে রাতের সব ক্লান্তি মুছে গেল।সমুদ্রের বিশালতাই হয়তো এ অঞ্চলের নগর পরিকল্পনাবিদদেরকে
 ইউনিয়ন স্ট্রিটসহ অন্য সড়কগুলো প্রশস্ত করে বানানোর চিন্তা মাথায় এনে দিয়েছিল। ১৭৯৪ সালের ঘটনা। নগর
 পরিকল্পনাবিদ চার্লস এবারক্রম্বি ‘সোজা এবং প্রশস্ত রাস্তা’র প্রস্তাবটা সবার মনোযোগে নিয়ে আসেন। পরে ৩৬ জন
 সুধী নাগরিকের মন্তব্যে তা পাস হয়। এরপর ইউনিয়ন স্ট্রিটে অনেক পরিবর্তন-পরিমার্জন আনা হয়েছিল।এবারডিনের প্রশস্ত সড়কের
 ঐতিহ্য ধরে রাখতে গ্রানাইট পাথরের রাজকীয় প্রাসাদোপম স্থাপত্য দিয়ে নগরকে বছরের পর বছর সাজিয়ে রাখা
 হয়েছে। রুপালি রঙের এসব স্থাপত্যের কারণে এবারডিনকে সিলভার সিটি বলা হয়। নগরের আকাশচুম্বী মিনার বিশিষ্ট
 গির্জার পাশাপাশি ইউনিভার্সিটি অব এবারডিনের কিংস কলেজ, মরিশাল কলেজ, কেন্দ্রীয় লাইব্রেরি, নাট্যশালা (হিজ মেজেস্টি ভবন)
 এবং ইউনিয়ন স্ট্রিট ও কিং স্ট্রিটের দুপাশ সাজিয়ে রাখা গ্রানাইট পাথরের স্থাপত্যসহ নগরজুড়ে প্রাসাদোপম আবাসিক
 ভবনগুলো ব্যস্ত মানুষদের দৃষ্টি কাড়বেই। নগরের প্রধান প্রধান আবাসিক এলাকা ঘুরে মনে হবে, পুরো নগরই
 যেন এক বিশাল রাজবাড়ি। এখানকার স্থাপত্যের প্রধান আকর্ষণ ক্যাসল ভবনগুলোর কথা তো বলাই হয়নি। এসব
 ক্যাসলের মধ্যে নগরের উত্তর দিকে বালমোরেলে রানির অবকাশযাপনের জন্য ক্যাসল বাড়িটিই সবচেয়ে সুন্দর। গ্রীষ্মকালে রানি
 এখানে এলে বাড়িটি দর্শনার্থীদের জন্য বন্ধ থাকে।নগরের সব স্থাপত্যের মধ্যে সবচেয়ে শৈল্পিক মনে হয়েছে মরিশাল
 কলেজ ভবনটি, যা নগরের অন্যতম আকর্ষণ রাজকীয় আদালত ভবনের ডানপাশের সড়ক ব্রড স্ট্রিট দিয়ে ঢুকলেই
 চোখে পড়ে। নগরের এসব নজরকাড়া স্থাপত্যের বেশির ভাগই বানানো হয়েছিল সেই সময়ের বিখ্যাত এবারডনিয়ান স্থপতি
 জন স্মিথ ও আর্কিবল্ড সিম্পসনের পরিকল্পনায়। কিংস কলেজ ও মরিশাল কলেজের ভবন দুটি অবশ্য পঞ্চদশ
 ও সপ্তদশ শতকেই বানানো হয়েছিল।স্থাপত্য ভবন থেকে এবার আসা যাক বন-বনানীর কথায়। ইউনিয়ন স্ট্রিট ও
 কিং স্ট্রিট ছাড়া নগরের প্রায় রাস্তার দুপাশ দেখে মনে হবে শত শত গাছগাছালি যেন প্রাসাদোপম
 বাড়িগুলোর জন্য অলংকাররূপে বসানো হয়েছে।তবে ইউনিয়ন ব্রিজের পাশে বনানী ইউনিয়ন টেরেস গার্ডেনের সৌন্দর্যের কথা উল্লেখ
 না করলেই নয়। সোজা-লম্বা, শৈল্পিক গঠনে গড়া স্বল্প পরিসরের বাগানটি দেখলে মনে হয় যেন স্বর্গের
 নিদর্শন। এরপর হলবার্ন জংশন থেকে ডানে কুইন্স রোড ধরে হাঁটা শুরু করলে রাস্তার দুপাশে দেখা
 যাবে ডাথি পার্ক, কিউমিং পার্ক, হেজেলহেড পার্কসহ আরও অনেক পার্ক। হলবার্ন জংশনের বাঁ-দিক থেকে আবার
 ডানে মোড় দিলে নগরের সবুজ কন্যা কাল্টসের রাজকীয় বাড়ি ও বনানীর দেখা মিলবে। এভাবে যেতে
 থাকলে এক সময় ডি নদীকে ঘিরে গড়ে ওঠা নিউটন-ডি পল্লিগুলো চোখে পড়বে। হলুদ কাঠের বড়
 বড় স্কুলঘর আকারের ঘর বানিয়ে সাজানো হয়েছে নিউটন পল্লি।এক রোববার ছুটির দিনে রোদেলা দুপুরে গেলাম
 নিউটন পল্লি দেখতে। বনের মধ্য দিয়ে বানানো রাস্তায় হাঁটছি, হঠাত্ চোখে পড়ল টুংটাং ঘণ্টা বাজিয়ে
 এক জাপানি তরুণী সাইকেল চালিয়ে আসছে। এমন অপার্থিব ও অদেখা সুন্দর পরিবেশে এই তরুণীকে দেখে
 মনে পড়ে গেল বঙ্কিমের কপালকুণ্ডলার কথা। রাস্তা ভুলে গেছি—এই ছুতোয় দাঁড় করালাম তরুণীকে। জাপানি তরুণী
 জানাল কোন দিকে মেইন রোড, কোন দিকে ডি নদী ইত্যাদি ইত্যাদি। জিজ্ঞেস করলাম, জাপানের কোন
 অঞ্চলে বাড়ি। তরুণী অবাক হয়ে জানতে চাইল, জাপানে বাড়ি বুঝলাম কীভাবে? হেসে বললাম, অভিজ্ঞতা থেকে।
 পৃথিবীর বিভিন্ন অঞ্চল ও দেশের মানুষ দেখতে দেখতে শক্তপোক্ত একটা ধারণা হয়ে গেছে। এখন কাউকে
 দেখলেই তার চেহারা, কথার সুর ও ধরন দেখেই বলে দিতে পারি সে কোন দেশ বা
 অঞ্চলের। তরুণী উত্সাহী হয়ে জিজ্ঞেস করল, ‘তোমার বাড়ি কোথায়?’ বললাম, আমার মতো আত্মবিশ্বাসী হয়ে বলো
 দেখি কোথায়? তরুণী হেসে বলল, ‘আমার অত আত্মবিশ্বাস নেই।’ বাংলাদেশ থেকে বলেই এখানে তাঁর উপস্থিতির
 কারণ জিজ্ঞেস করলাম। মেয়েটা বলল, ‘এখানকার শৈল্পিক কাঠের বাড়িগুলোতে আছে অনেক প্রতিবন্ধী মানুষ। তাদের দেখাশোনার
 জন্য আমরা একদল স্বেচ্ছাসেবী এখানে থাকি, যাদের থাকা-খাওয়া ফ্রি। এদের কেউ কেউ আমার মতো বিশ্ববিদ্যালয়ের
 শিক্ষার্থী।’ সে আরও জানাল, এখানে বেশ কিছু চা/কফি, হালকা খাবারের রেস্তোরাঁ এবং দু-একটা শৈল্পিক জিনিসপত্রের
 দোকানও আছে। তারা ওইসব রেস্তোরাঁ ও দোকানে কাজ করে। এসব দোকান থেকে যা আয় হয়,
 তা দিয়েই চলে তাদের এবং প্রতিবন্ধীদের থাকা-খাওয়ার খরচ।হাঁটতে হাঁটতে গলফ মাঠ পেরিয়ে পেয়ে গেলাম গাছগাছালি
 ও ঝাউবনঘেরা শান্ত স্নিগ্ধ ডি নদীর তীরে। ক্লাস সেভেনে ইংরেজি বইয়ে ‘ডি নদীর চর’ নামে
 একটা কবিতা পড়েছিলাম। ডি-ই নয়, এবারডিন নগরের সৌন্দর্য বাড়াতে নগরের পূর্ব পাশজুড়ে আছে ডন নদীও।
 অবশ্য নগর থেকে পূর্বে গেলে এলন নামক স্থানে দেখা যাবে ওয়াইথান নামে আরেকটা নদী। ডন
 ও ডি, এ দুই নদীকে ঘিরে বিখ্যাত হয়ে আছে নগরের সৌন্দর্য বৃদ্ধিকারী দুই সেতু ‘ব্রিজ
 অব ডন’ ও ‘ব্রিজ অব ডি’। ডন নদী দেখতে হলে যেতে হবে কিং স্ট্র্রিট ধরে
 নগরের পূর্বদিকে। ইউনিভার্সিটি অব এবারডিন পার হলেই পেয়ে যাবেন চমত্কার সুন্দর সেতু ‘ব্রিজ অব ডন’।
 এ সেতুর বাঁ-দিকে গেলে দেখা যাবে ডন নদীর মধ্যে ভাসতে থাকা বহু প্রাণী। নদীর মাঝখানে
 আছে বিশাল চর, যেখানে এসব জলজ প্রাণীর খেলা নদীর সৌন্দর্য বাড়িয়ে দেয়। তাছাড়া নদীর বাঁ-পাশের
 তীরে আছে বিশাল বৃক্ষরাজি, যা নদীর সৌন্দর্যকে দ্বিগুণ করেছে। ডানদিকে গেলে দেখা যাবে ডন নদীর
 মোহনার সঙ্গে খেলতে থাকা উত্তর মহাসাগরের উত্তাল ঢেউ। হাজারো বালিহাঁস ও সিগাল পাখি সেই ঢেউয়ের
 সঙ্গে পাল্লা দিয়ে আনন্দ উদযাপনের ফাঁকে ফাঁকে ছোট ছোট সামুদ্রিক মাছ শিকার করে বেড়ায়।এবারডিনের যেখানেই
 থাকুন না কেন, সেখানেই পেয়ে যাবেন সমুদ্র, শান্ত নদী, স্থাপত্য শিল্প কিংবা বনানীর পরশ। আবাসিক
 এলাকাগুলো বাদ দিলে এবারডিনের আকারে খুব বড় নয়, বড়জোর আমাদের বাংলাদেশের জেলা সদর কুমিল্লার মতো।
 তবে এখানকার একটা বিষয় দেখে বেশ মজার। তা হলো ডি নদীর কারণে নগরের দুভাগে বিভক্ত
 হয়ে যাওয়ার দৃশ্য। এটা আমার কাছে আমাদের চাঁদপুর পুরান বাজার ও নতুন বাজারের মতো মনে
 হয়েছে (যদিও এখানে নতুন-পুরান এবারডিন বলতে নদীর সম্পৃক্ততা নেই)। আর কাল্টসের পাশ দিয়ে ডি নদীকে
 দেখতে গিয়ে চোখে পড়ল এক ঝুলন্ত সেতু যা দেখে মনে পড়েছিল আমাদের রাঙামাটির ঝুলন্ত সেতুর
 কথা, যদিও এই সেতুটি একেবারেই ভিন্ন রকমের। অবশ্য, স্বাস্থ্য ও নিরাপত্তার স্বার্থে ভাবগাম্ভীর্যে ভরা এই
 সেতুটির ব্যবহার এখন বন্ধ রাখা হয়েছে। স্থানীয় বৃদ্ধ মার্শালের সঙ্গে কথা বলে জানা গেল, ১৮৬০
 কিংবা তারও আগে ডি নদীর ওপারে থাকা প্যারিস চার্চে রাজকর্মচারীদের আসা-যাওয়ার সুবিধার্থে এই ঝুলন্ত সেতুটি
 বানানো হয়েছিল। যুক্তরাজ্যে এখন বিবাহ রেজিস্ট্রেশন ছাড়া তেমন কোনো উল্লেখযোগ্য রাষ্ট্রীয় কাজে চার্চের ব্যবহার নেই।
 তবে এবারডিনের চার্চগুলোর অবস্থা দেখে মনে হলো, আহা ধর্মীয় কাজ থেকেও বুঝি যুক্তরাজ্যর বহু চার্চকেই
 এখন অব্যাহতি দেওয়া হয়েছে। ধার্মিকদের সংখ্যা কমে যাওয়ায় স্থানীয় সরকার কর্তৃপক্ষ জনগণের কাছে চার্চগুলো বিক্রি
 করে ব্যক্তি মালিকানায় ছেড়ে দিয়েছে। আর স্থানীয়রা কম দামে এসব চার্চ কিনে নিয়ে পাবলিক বার
 ও ক্যাসিনো বানিয়েছেন। ইউনিয়ন স্কয়ার থেকে ঢুকলে ইউনিয়ন স্ট্রিটের ডানদিকের দ্বিতীয় গলি বেলমোন্ট স্ট্রিট। ১০০
 গজের এই ছোট গলিটাতেই চোখে পড়বে তিন তিনটি বিশাল বিশাল চার্চ। স্লেইন্স ক্যাসল, প্রাইওরি ও
 ট্রিপল কার্ক নামে এই তিনটি বার এখন জনপ্রিয় মদের বার। আর জুয়ার আসরের মধ্যে ইউনিয়ন
 স্ট্রিটের ঠিক মাঝখানে থাকা সৌল ক্যাসিনো সবার নজর কাড়ে, আজ থেকে ছয় বছর আগেও যা
 চার্চ হিসেবেই পরিচিত ছিল।অনেক কথার মধ্যেও কিন্তু কিছু কথা থেকেই যায়! মানুষের ভিড় বিবেচনায় এবারডিনে
 এখন ঠিক লন্ডনের মতোই অবস্থা। পড়াশোনা, কাজ, ঘুরে দেখাসহ বিভিন্ন উদ্দেশ্য নিয়ে পৃথিবীর বিভিন্ন দেশ
 থেকে মানুষ আসছে এবারডিনে। এই এবারডিনের ক্রাউন স্ট্রিটে একটি মসজিদ আছে। এ মসজিদটা নিয়েও কথা
 আছে; মসজিদের অর্ধাংশ এখনো চার্চ হিসেবে ব্যবহূত হচ্ছে। অবশ্য, এই রমজানে চার্চের হলরুমটিকে মসজিদের আওতায়
 আনা হয়েছে। আগামী দিনে হয়তো পুরোটাই মসজিদের আওতায় চলে আসবে।রাশেদ রাফি, সদস্য—রয়েল সোসাইটি ফর পাবলিক
 হেলথ, গ্লোবাল হেলথ কাউন্সিল, ইনডিপেন্ডেন্ট একাডেমিক রিসার্চ স্টাডিজ।
সিলভারি নগর, যেন এক রাজবাড়ি
সিলভারি নগর, যেন এক রাজবাড়ি
