bangla word,translitered bangla word
বক্তব্যে,baktvye
সংস্থাগুলো,sansthagulo
২০১১,2011
সালে,sale
সাত,saat
লাখ,lakh
দরিদ্র,daridra
মানুষের,manusher
মাঝে,majhe
মৎস্য,masya
পশুসম্পদ,pashusampada
৪০০,400
বিলিয়ন,bilion
একদিকে,ekadiqu
কৃষিঋণ,krishirun
বিতরণে,vitarne
তহবিল,tahavil
সংকটে,sankat
ভুগছে,bhugarhe
তেমনি,temani
ব্যাংকে,vyanke
অবিনিয়োগকৃত,abiniogakrut
টাকার,takaar
বিইএফের,biiefer
সভাপতি,sabhapati
স্কয়ার,scyar
ফার্মাসিউটিক্যালসের,pharmaceuticalcer
বছর,bashwar
মেয়াদে,mayade
এমপ্লয়ার্স,emplayars
ফেডারেশনের,federeshner
বিইএফ,biyef
নির্বাচিত,nirvachit
সময়ের,samyer
সংগঠনের,sangavner
সহসভাপতি,sahasabhapati
ওসমান,osman
টেক্সটাইলসের,textilser
সাবরিনা,sabarina
ইসলাম,islam
সাবেক,sabek
তত্ত্বাবধায়ক,tattwavadhayak
সরকারের,sarkarer
উপদেষ্টা,upadeshta
মেট্রোপলিটন,metroplitan
চেম্বার,chember
কমার্স,commerce
ইন্ডাস্ট্রির,industry
এমসিসিআই,emsisiai
ওষুধ,oshudh
শিল্পসহ,shilpsah
স্বাস্থ্যসেবা,swasthyaseva
প্রসাধন,prasadhan
বস্ত্র,basture
বিমা,vima
আবাসন,avasan
তথ্যপ্রযুক্তি,tathyaprayukti
খাতের,khater
নেতৃস্থানীয়,netrusthanian
উদ্যোক্তা,udyokta
মহিলা,mahila
সমিতির,smiti
কনকর্ড,kanakard
গার্মেন্টসের,garmentser
২০১৩,2013
সাল,saal
মেয়াদি,mayadi
কার্যনির্বাহী,caryanirbahi
পর্ষদের,parshader
সদস্যরা,sadasyara
হলেন,hollen
বিকেএমইএর,bikemyer
মোহাম্মদ,mohammad
মানসুর,mansur
আহমেদ,ahmed
বেঙ্গল,bengal
গ্লাস,glass
ওয়ার্কসের,workser
তাহামিদ,tahamid
বিটিএমইএর,bitiemyer
জাহাঙ্গির,jahangir
আলামিন,alamin
গ্রিন,green
ডেল্টা,delta
ইনস্যুরেন্স,insurance
কোম্পানির,companies
এমডি,emdi
ফারজানা,farjana
সিটি,city
ব্রোকারেজের,brokarager
খোন্দকার,khondkar
আসাদুল,asadul
বিজিএমইএর,bijiemyer
রফিকুল,rafikul
বাংলাদেশীয়,bangladeshiya
সংসদের,sansader
সিনিয়র,sinior
ভাইস,vaaice
চেয়ারম্যান,cheyarman
আরদাশির,ardashir
কবির,kavir
বিএফএফইএর,viephaeyer
হুমায়ুন,humayun
কেদারপুর,kedarpur
নিহাদ,nihad
টেকনোহ্যাভেন,technohaven
হাবিবুল্লাহ,habibullah
ল্যাম্পসের,lampser
ওবাইদুর,obaidur
রহমান,rahman
খান,khan
মোমেন,momen
সুগার,sugar
রিফাইনারির,rifinary
ডিএমডি,diemde
মঈনউদ্দীন,mainuddin
মোনেম,monem
বিজেএমএর,bijeemer
কাইহান,kaihan
খাদিম,khadeem
সিরামিকসের,syramikser
সাকিব,saqib
আরিফ,arif
তাবানি,tavani
মার্কিন,markin
কানাডার,canada
ক্রেতারা,kretara
জোট,jot
গঠন,gaian
করল,karal
পোশাক,poshak
কারখানার,karkhana
কর্মপরিবেশের,karmparibesher
উন্নয়নে,unnayane
আনুষ্ঠানিকভাবে,anushthanikbhave
এগিয়ে,agie
এসেছে,asese
আমেরিকার,america
যুক্তরাষ্ট্র,yuktarashtra
১৭টি,17ti
প্রতিষ্ঠান,pratishthan
শ্রমিকদের,shramikder
নিরাপত্তায়,nirapatta
বছরমেয়াদি,bachrmayadi
কর্মপরিকল্পনার,karmparikalpanar
ঘোষণা,ghoshna
বুধবার,budhwar
ওয়াশিংটনে,washintone
ঘোষিত,ghoshit
কর্মপরিকল্পনায়,karmparikalpana
কারখানা,karkhana
পরিদর্শন,paridarshan
অধিকার,adhikar
নিশ্চিত,nischit
সুনির্দিষ্ট,sunirdisht
সময়সীমা,samaisima
বেঁধে,bedhe
ওয়াশিংটনভিত্তিক,washingtonvittik
গবেষণা,gaveshana
সংস্থা,sanstha
বাইপার্টিজান,bypartijan
পলিসি,polysy
সেন্টারের,centre
দপ্তরে,daptar
বৈঠকে,baitke
অ্যালায়েন্স,allaence
ওয়ার্কার্স,workers
সেফটি,sephaty
নামের,namer
জোটের,joter
পক্ষ,paksh
কর্মপরিকল্পনা,karmparikalpana
ইনিশিয়েটিভ,inishiative
নিরাপত্তার,nirapattar
উদ্যোগ,udyog
প্রধান,pradhan
কর্মকর্তারা,karmakartara
যৌথ,yoth
বিবৃতি,vivruti
বিবৃতিতে,vivrutite
নিরাপত্তা,nirapatta
পরিস্থিতি,paristhite
গ্রহণযোগ্য,grahanyogya
পরিস্থিতির,paristiter
সমন্বিত,samanvit
পরিবেশের,pariwesher
সত্যিকার,satyikar
টেকসই,techsi
অগ্রগতির,agragati
প্রত্যেকের,pratyeker
জোরালো,joralo
মধ্য,madhya
ভবিষ্যতে,bhavishyate
বিয়োগান্ত,bioganta
ঘটনা,ghatna
এড়াতে,edate
লক্ষ্য,lakshya
পাশাপাশি,pashapashi
মালিকদের,malikder
অংশীদারত্ব,anshidartva
গড়ে,garh
তোলা,tola
সংশ্লিষ্ট,sanshlisht
পক্ষগুলোর,pakshagulor
স্বচ্ছতা,swachchhata
প্রতিষ্ঠিত,pratishthit
প্রক্রিয়া,prakria
দীর্ঘস্থায়ী,dirghasthayi
পরিবর্তনের,paribartaner
সুযোগ,suyog
তৈরি,tiri
ওয়েবসাইটে,website
ওয়াশিংটনের,washintoner
স্থানীয়,sthanian
সময়,samay
সকাল,sakal
১০টায়,10ta
সভা,sabha
ডেমোক্রেটিক,democratie
পার্টির,parties
সিনেটর,cinater
জর্জ,gorge
মিচেল,michel
রিপাবলিকান,repablican
অলিম্পিয়া,olympia
স্নোয়ি,snowi
প্রণয়নে,pranayne
গুরুত্বপূর্ণ,gurutvapurna
ভূমিকা,bhumika
রাখেন,rakhen
সংস্থাটির,sansthati
যুক্ত,yukt
রয়েছেন,royachen
প্রসঙ্গত,prasangat
উন্নতিতে,unnatite
সময়সীমাভিত্তিক,samaisimavintik
অঙ্গীকার,angikar
ইউরোপের,europer
ক্রেতাদের,kretader
নয়টি,nayati
ভিত্তিতে,vittite
পূরণের,purner
আর্থিক,arthik
সহায়তার,sahaitar
ডলারের,dollarer
সহায়তা,sahayata
জোরদারের,jordarer
ডলার,dollar
সহজ,sahaj
শর্তে,sharte
উল্লেখযোগ্য,ullekhayogya
নিরাপত্তামূলক,nirapattamulak
মানদণ্ড,mandand
সংগঠিত,sangarhit
অর্থায়ন,arthayan
সম্পৃক্ততা,sampruktata
তৃতীয়,iii
নিরীক্ষার,nirikshar
বাস্তবায়ন,vastawayan
পুরো,puro
পর্যবেক্ষণের,paryavekshaner
কংগ্রেসের,congresser
সদস্যের,sadasyer
নেতৃত্বে,netrutve
পরিচালনা,parichalana
পর্ষদ,parshad
পর্ষদে,parshadev
পদাধিকার,padadhikar
জোটে,jot
সম্পৃক্ত,samprukt
জোটটিতে,jottite
ওয়ালমার্ট,walmart
গ্যাপ,gap
মেসি,mesi
ভিএফ,vief
টার্গেট,target
পেনি,penni
হাডসন,hadson
চিলড্রেনস,childrens
প্লেস,place
কানাডিয়ান,canadian
টায়ার,taya
করপোরেশন,karporeshan
বিন,bin
খ্যাতনামা,khyatnama
প্রক্রিয়ায়,prakria
সহায়তাকারী,sahayatakari
সংস্থাগুলোর,sansthagulor
আমেরিকান,american
অ্যাপারেল,aparal
ফুটওয়্যার,footoyar
অ্যাসোসিয়েশন,assosieshan
ন্যাশনাল,nyashnal
রিটেইল,ritail
কাউন্সিল,council
কানাডা,canada
ইন্ডাস্ট্রি,industry
লিডারস,leders
ইউনাইটেড,united
স্টেটস,states
ইম্পোর্টার্স,importers
টেক্সটাইল,textile
চাইলে,chile
শহিদুল্লাহ,shahidullah
আজিম,ajim
আলোকে,aloke
উদ্যোগটি,udyogti
প্রশংসনীয়,prashansanian
বাস্তবায়নে,vastawayane
পক্ষকে,pakshake
শ্রমমানের,shramamaner
বাংলাদেশকে,bangladeshke
অন্তর্ভুক্ত,antarbhukt
জুন,june
সেন্টারে,centre
অনুষ্ঠিত,anushtit
খসড়া,khasda
প্রণয়নের,pranayner
সভায়,sabha
প্রতিনিধিত্ব,pratinidhitva
কেনেন,canen
অগ্নিকাণ্ড,agnicand
কাঠামোগত,kathamogat
খতিয়ে,khatie
দেখার,dekhar
কাজটি,cajti
বছরেই,bachrei
শেষ,shesh
স্বার্থে,swarth
অপরিহার্য,apariharya
পদক্ষেপগুলো,padakshepgulo
পরের,parer
তিন,tin
মাসে,mase
নিরাপত্তাজনিত,nirapattajnit
পরিদর্শনের,paridarshaner
ফলাফল,falaphal
স্বচ্ছতার,swachchhatar
সবাইকে,sawaike
জানাতে,janate
সদস্যদের,sadasyader
কারখানাগুলোতে,karkhanagulote
গণতান্ত্রিক,ganatantrik
নির্বাচনের,nirvachner
শ্রমিক,shramik
সক্রিয়ভাবে,sakrimbhave
কর্মসূচি,karmasuchi
পরিদর্শক,paridarshak
সংস্কারমূলক,sanskarmulak
পদক্ষেপের,padakshaper
বিবেচনা,vivechana
ঝুঁকিমুক্ত,jhunkimukta
বন্ধ,bandh
সরিয়ে,sarie
মালিক,malik
কর্তৃপক্ষকে,kartrupakshake
সরাসরি,sarasari
প্রতিবেদন,prativedan
পরিদর্শকদের,paridarshakder
ক্ষমতা,kshamata
হয়েছেসফল,hayewesaphal
রপ্তানিকারকদের,raptanikarkader
এইচএসবিসির,eichesvisir
পুরস্কার,puraskar
সফল,safal
চতুর্থবারের,chaturthavarer
এক্সপোর্ট,export
এক্সিলেন্স,xilance
অ্যাওয়ার্ডস,awards
হংকং,hankang
সাংহাই,sanhai
এইচএসবিসি,eichesbisi
বিগত,vigat
বছরের,bakhrer
ধারাবাহিকতায়,dharavahikta
শ্রেণীতে,shrenite
এবারও,evaro
পাঁচজন,panchjan
রপ্তানিকারককে,raptanikarkk
মঙ্গলবার,mangalbar
রাজধানীর,rajdhani
রূপসী,rupsi
বাংলা,bangla
হোটেলে,hotel
ব্যাংকটির,vyanctir
পুরস্কারের,puraskarer
আগ্রহী,aagrahi
ব্যক্তিদের,vyaktider
আবেদন,avedan
গ্রহণ,grahan
www,www
hsbc,hsbc
com,com
eea,eea
ঠিকানায়,tikana
নির্ধারিত,nirdhari
ফরম,faram
ব্যক্তিরা,vyaktira
পূরণ,pooran
জুলাই,july
জমা,jama
পারবেন,parven
উদ্দেশ্য,uddeshya
সিইও,sieo
অ্যান্ড্রু,andrw
টিল্ক,tilk
করপোরেট,karporet
ব্যাংকিংয়ের,vyankingyer
মাহবুবুর,mahabubur
যোগাযোগ,yogayog
বিভাগের,vibhager
তালুকদার,talukdar
নোমান,noman
আনোয়ার,anwar
জানান,janaan
সেরা,sera
রপ্তানিকারক,raptanikarak
হিসেবে,hiseve
পোশাকশিল্প,poshakashilp
টেক্সটাইলস,textiles
ইপিজেড,ipijad
এন্টারপ্রাইজেস,enterpraiges
সনাতন,sanathan
উদীয়মান,udiyaman
ক্ষেত্র,kshetra
ক্ষুদ্র,khudra
মাঝারি,majhari
ব্যবসায়ীকে,vyavasayike
শ্রেণীকে,shrenike
গ্রুপ,group
ভাগ,bhaag
যেসব,yesav
প্রতিষ্ঠানের,pratisthaner
বার্ষিক,barshik
আয়,a
সেসব,sesav
শ্রেণীভুক্ত,shrenibhukt
নিচে,niche
আয়ের,ayer
প্রতিষ্ঠানগুলো,pratisthangulo
আবেদনের,abedner
যোগ্য,yogya
বিবেচিত,vivechit
আয়োজনের,yojner
কৌশলগত,kaushalgat
অংশীদার,anshidar
দৈনিক,dinik
আলো,alo
ডেইলি,daily
স্টার,star
ব্রান্ড,brands
কেপিএমজি,capiemji
রপ্তানিকে,raptanike
উৎসাহিত,usahit
ধরনের,dharner
রপ্তানিকারকেরা,raptanikarkera
একজন,ekajan
আরেকজন,arekajan
রপ্তানিকারকের,raptanikarker
সেপ্টেম্বরে,september
বিজয়ীদের,vijayider
উপলক্ষে,upalakshe
বিমানে,biman
একজনের,ekajner
ভাড়ায়,bhara
দুজনের,dujner
ভ্রমণ,bhraman
আসন্ন,asann
ঈদুল,idul
ফিতর,fitar
বিমান,biman
এয়ারলাইনস,airlines
ঢাকা,dhaka
কলকাতা,kolkata
দিল্লি,delhi
ব্যাংকক,vyankk
সিঙ্গাপুর,singapore
কুয়ালালামপুরে,qualalampur
দুজন,dujan
প্যাকেজ,packej
আগস্টের,agster
টিকিট,ticket
বুকিং,booking
আগস্ট,august
সুবিধার,suvidhar
আওতায়,aota
নির্দিষ্ট,nirdisht
গন্তব্যে,gantavye
গেটওয়ে,gateway
স্পেশাল,special
প্যাকেজের,packeger
ভ্রমণকারীকে,bhramanakarike
একসঙ্গে,ekasang
ভ্রমণকারীর,bhramanakari
সংখ্যা,sankhya
চারজন,charajan
আলাদাভাবে,aladabhave
আরেকটি,arevati
তিনজনের,tinjner
সুবিধা,suvidha
প্রযোজ্য,prayojya
ভ্রমণকারীদের,bhramanakarider
বিমানের,bimaner
biman,biman
airlines,airlines
সম্পন্ন,sampann
সারচার্জ,sarcharge
ভ্রমণকর,bhramnakar
বিমানবন্দর,bimanbandar
বাইরে,byre
সুযোগের,suyoger
প্রোমো,promo
কোড,code
eid2013,eid2013
কার্ডে,card
পরিশোধ,parishodh
আইসিবি,isibi
এএমসিএল,eemsiel
১০টি,10ti
মিউচুয়াল,miuchual
ফান্ডের,fander
ছয়টিতেই,chhayatite
লভ্যাংশ,lavyansh
দেয়নি,deyani
রাষ্ট্রায়ত্ত,rastrayatt
ইনভেস্টমেন্ট,investment
সহযোগী,sahayogi
অ্যাসেট,aset
ম্যানেজমেন্ট,manejament
ব্যবস্থাপনাধীন,vyavasthapanadhin
ছয়টির,chhaoti
বিপরীতে,viparite
চারটির,charti
নগদ,nagad
প্রদানের,pradaner
তিনটিরই,tintirai
লভ্যাংশের,lavyansher
আগের,ager
কমে,comme
সোমবার,sombar
বিকেলে,bickle
কমিটির,comiti
সভাশেষে,sabhashese
আইসিবির,isibir
খবর,khabar
প্রকাশ,prakash
আসার,aasaar
শেয়ারবাজারে,sheyarbajar
দিনের,diner
লেনদেন,lenden
বেশির,beshir
অধিকাংশ,adhikansh
ফান্ডেরই,fanderoi
ইউনিটের,uniter
দাম,daam
বেড়েছে,bedese
পারা,para
সম্পর্কে,sampark
ব্যবস্থাপক,vyavasthapak
ধারাবাহিক,dharavahik
দরপতনের,darpatner
কারণে,karna
শেষে,sheshe
তহবিলগুলো,tahabilgulo
ভালো,bhalo
আসেনি,asenni
তহবিলের,tahabiler
অধীনে,adhine
লাভজনক,lavjanak
শেয়ার,shayar
থাকার,thakar
পরও,para
বাজারের,bajarer
অবস্থা,avastha
বিবেচনায়,vivechana
বিক্রি,bikri
আইসিবিকে,isibik
বিষয়ও,vishyao
রাখতে,rakhte
চারটি,charti
হারে,har
ফার্স্ট,first
ফান্ড,fand
ইসলামিক,islamic
এনআরবি,nrbi
সেকেন্ড,seconds
যথাক্রমে,yathakram
এমপ্লয়িজ,emplaij
প্রভিডেন্ট,provident
ওয়ান,wan
স্কিম,skim
প্রাইম,prime
ফনিক্স,phanix
ফিন্যান্স,finance
থার্ড,thard
আইএফআইএল,ishnaiel
ওয়ানের,waner
বর্তমানে,bartaman
১২টি,12ti
তালিকাভুক্ত,taalikabhukta
এছাড়াও,echadao
প্রতিষ্ঠানটি,pratisthanti
ইউনিট,unit
পেনশন,penshan
হোল্ডারস,holders
ব্যবস্থাপনার,vyavasthapanar
দায়িত্বে,dawitve
সংবাদপত্রের,sangbadpatrer
নিউজপ্রিন্ট,neujaprint
সংবাদপত্রশিল্পে,sangbadapatrashilpe
ব্যবহূত,vyavahoot
প্রদান,pradaan
দিতেন,diten
আমদানিকারকেরা,aamdanikarkera
চলতি,chalati
অর্থবছরের,arthboorer
বাজেট,bajet
ঘোষণার,ghoshnar
পর্যায়ে,paryay
আরোপের,aroper
তীব্র,tibra
সমালোচনা,samalochana
আপত্তির,apattir
মুখে,mukhe
প্রস্তাবিত,prastavit
শুল্কহার,shulkhhar
কমানো,kamano
প্রিন্টিং,printing
প্লেটের,plater
ওপর,opr
কমিয়ে,commie
হার,haar
অর্থবিল,arthvil
পাসের,passer
অর্থমন্ত্রী,arthmantri
বক্তৃতায়,baktruta
নিউজপ্রিন্টশিল্পের,neujaprintshilper
সংবাদপত্রশিল্পের,sangbadapatrashilper
আমদানির,aamdanir
রহিত,rahit
করেছিলাম,karechhilam
প্রধানমন্ত্রী,pradhanmantri
নমনীয়,namani
নির্দেশনা,nirdeshna
ডিএসইতে,diesite
সূচকের,suchaker
বড়,bada
পতন,patan
সপ্তাহের,saptaher
নিম্নমুখী,nimnmukhi
প্রবণতায়,prabanta
চলছে,chalache
ঢাকার,dhakar
দুপুর,dupur
সাড়ে,sade
১২টায়,12ta
লেনদেনের,lendener
দেড়,ded
ঘণ্টা,ghanta
শেয়ারের,shyare
কমেছে,comech
স্টক,stock
এক্সচেঞ্জ,exchenge
ডিএসই,dies
সূত্রে,sutre
ডিএসইর,dies
ডিএসইএক্স,diesiex
সূচক,suchak
পয়েন্ট,paent
দাঁড়িয়েছে,dandieng
৮৩১,831
পয়েন্টে,paent
বেলা,bela
১১টায়,11ta
এখনো,ekhano
অব্যাহত,avyahat
সময়ে,samay
২৫২টি,252ti
২১৪টির,214ti
২৪টির,24ti
অপরিবর্তিত,aparivartit
১৪টি,14ti
আলোচ্য,alochya
এক্সচেঞ্জে,exchenge
লেনদেনে,lenden
শীর্ষে,shirshe
প্রতিষ্ঠানগুলোর,pratisthangulor
মেঘনা,meghna
পেট্রোলিয়াম,petrolium
অলিম্পিক,olympic
ইন্ডাস্ট্রিজ,industries
বিএসসিসিএল,biessisiel
পদ্মা,padma
অয়েল,ael
যমুনা,yamuna
ফার্মা,pharma
তিতাস,titas
গ্যাস,gas
ফ্যামিলি,family
টেক্স,tex
এয়ার,air
রপ্তানির,raptani
লক্ষ্যমাত্রা,lakshyamatra
ওপরে,opre
প্রথমবারের,prathambarer
অতিক্রমের,atikramer
সরকার,sarkar
মন্ত্রণালয়ের,mantranalyer
আওতাধীন,aotadhin
উন্নয়ন,unnayan
ব্যুরো,vyuro
ইপিবি,ipibi
লক্ষ্যমাত্রার,lakshyamatra
প্রবৃদ্ধি,pravruddhi
দশমিক,dashamik
ইপিবির,ipibir
মাসেই,masei
২০১২,2012
সম্ভাব্য,sambhavya
৭০৬,706
নিয়েই,niwe
মাসওয়ারি,mawari
তথ্য,tathy
বৈঠক,baithak
চূড়ান্ত,chudanta
উল্লেখ্য,ullekhya
সদ্য,sadya
সমাপ্ত,samapth
৭০১,701
ডলারে,dolar
৮০০,800
অর্থাৎ,artha
শুভাশীষ,shubhashis
বসু,basu
সময়ই,samari
উচ্চাকাঙ্ক্ষী,ucchakankshi
নইলে,naile
কাঙ্ক্ষিত,kankshit
পৌঁছানো,ponchano
রানা,rana
প্লাজা,plazas
যুক্তরাষ্ট্রের,yuktarastrer
অগ্রাধিকারমূলক,agradhikarmulak
বাজার,bazaar
জিএসপি,jiespi
সাময়িক,samaik
ঘটনার,ghatnar
বর্তমান,bartaman
প্রশ্নের,prashner
জবাবে,jababe
প্লাজার,plazar
ধসের,dhaser
ধারণা,dharna
প্রবৃদ্ধির,pravruddhir
ধারা,dhara
মানের,maner
দিক,dik
বাংলাদেশি,bangladeshi
প্রতিযোগী,pratiyogi
প্রতিযোগিতার,pratiyogitar
দেশি,deshi
পণ্যের,panyer
ধারে,dhare
বাণিজ্যসচিব,banisyasachib
মাহবুব,mahbub
অনুষ্ঠেয়,anushtheya
ওভেন,oven
নির্ধারণ,nirdharan
২৪৭,247
নিট,nit
১৪৯,149
প্রাথমিকভাবে,prathmikbhave
চাইলেও,chile
প্রস্তুত,present
বিরোধিতায়,virodhita
সরে,sar
আসে,aases
বিকেএমইএ,bikemie
ইপিবিকে,ipibik
রাজনৈতিক,rajnaitik
অস্থিরতা,asthirata
অসন্তোষ,asantos
আমদানিকারকদের,aamdanikarkader
শর্তের,sharter
অর্জন,arjan
সম্ভব,sambhava
চামড়া,chamada
চামড়াজাত,chamdajat
শিল্পকে,shilpke
প্রাধান্য,praadhanya
প্রচেষ্টা,pracheshta
সামান্য,samanya
কাটছাঁট,katchat
কাটছাঁটের,katsanter
সুরক্ষার,surakshar
পরিলক্ষিত,parilakshit
করের,karer
বোঝা,boza
কিছুটা,kichhuta
স্বস্তি,swasti
সমালোচনার,samalochanar
কালোটাকা,kalotaka
সাদা,saada
সুযোগও,suyogo
সীমিত,simit
সংসদে,sansadev
আবুল,abul
মাল,mal
মুহিত,muhit
পুনর্বিন্যাস,punarvinyas
করারোপ,kararope
করছাড়ের,karcharera
সংশোধিত,sanshodhit
আকারে,aakare
পাস,pass
ফ্ল্যাট,flat
কেনায়,kena
জমি,jami
হস্তান্তর,hastantar
ক্রয়মূল্যের,kraymoolyer
জরিমানা,jarimana
দিলেই,dilei
কেনা,kena
অন্যদিকে,anayadike
গুচ্ছ,guchchha
সংযোজন,sanyojan
ভ্যাটের,vater
পণ্যে,panye
নিয়ন্ত্রণমূলক,niyantranamulak
প্রকৃত,prakrut
অর্থে,arthe
মধ্যবর্তী,madhyavarti
৪৩টি,43ti
শুল্কের,shulker
অতিরিক্ত,atirikt
মূলত,mulath
সুরক্ষায়,suraksha
ছোট,chot
আকারের,aakarer
জাহাজ,jahaz
অহরহ,aharah
বিদেশেও,bideshe
জাহাজনির্মাণ,jahajanirman
অর্থবছর,arthvashwar
ডেডওয়েট,dedoyet
ডিডব্লিউটি,didbluty
ক্ষমতার,kshamtar
বিস্কুটশিল্পকে,biskutshilpke
রক্ষা,raksha
আমদানীকৃত,aamdanikrut
বিস্কুটের,biscuter
আরোপ,aarope
কেশ,kesh
পরিচর্যার,parichara
সামগ্রীর,samgri
ফেব্রিকসের,febrikser
আরোপি,arope
শিল্পমালিকদের,shilpmalikder
নিয়েছে,niech
রাজস্ব,rajasav
বোর্ড,board
এনবিআর,inbian
দামি,dami
বিলাসী,vilasi
গাড়ি,gaddi
কিনতে,kinate
খরচ,kharch
২৫০০,2500
সিসি,sici
হাইব্রিড,hybrid
মোটরগাড়ি,motorgaddi
জ্বালানি,jvalani
সাশ্রয়ী,sashryi
শুল্কমুক্ত,shulkamukta
দীর্ঘদিন,dirghdin
ধরেই,dharei
ব্যাপক,vapak
অনিয়মের,aniomer
অভিযোগ,abhiyog
রাখার,rakhar
১৮০০,1800
মোটরগাড়ির,motorgarhi
বিড়িতে,bidite
করসহ,karsah
ফিল্টারবিহীন,filtervihin
শলাকার,shalakar
বিড়ির,bidi
পয়সা,paisa
ফিল্টারযুক্ত,filteryukt
