bangla word,translitered bangla word
অমঙ্গলসূচক_চিহ্ন,amangalsuchak_chihn
অধর্ম_কর্ম,adharm_karm
পাপকর্ম,papakarm
পাপাচার,papachar
বিকল্পহীন,vikalpahin
উপায়হীন,upaihin
নিরুপায়,nirupa
অনন্যগতি,ananygati
অনন্যগতিক,ananygatik
পরের,parer
অন্যের,anyer
পরকীয়,parkin
বিদেশী,bideshi
ভিনদেশী,vindeshi
পরদেশী,pardeshi
বিলাতি,bilati
গ্রহদশা,grahadesha
দশা,dasha
আরাধ্য,aradhya
পূজ্য,pujya
বড়_বোন,bada_boon
অগ্রজা,agraja
দিদি,didi
পূর্ণমান,poornaman
সঠিক_চিহ্ন._স্বীকৃতি_চিহ্ন,sathik_chihn._swikruti_chihn
ভুল_চিহ্ন,bhul_chihn
অস্বীকৃতি_চিহ্ন,asvikruti_chihn
কাটা_চিহ্ন,kata_chihn
পতন,patan
তত্ত্ব,tattva
ভূত,bhoot
সত্ত্ব,sattva
মূল_দ্রব্য,mul_dravya
তবলা,tabla
ঝাঁঝ,jhaanjh
তানপুরা,tanpura
তম্বুরা,tambura
তম্বুর,tambur
জলকণা,jalkana
শীকর,shikar
সীকর,sikar
স্বাধীনতা_দিবস,shwadhinota_deebs
গণতন্ত্র_দিবস,ganatantra_deebs
প্রজাতন্ত্র_দিবস,prajatantra_deebs
গর্ভগৃহ,garbhagrih
গর্ভ,garbha
দেবকক্ষ,devkaksh
ময়ূরের_পেখম,mayurer_pekham
পেখম,pekham
ময়ূরপুচ্ছ,mayurpunch
বাহ্য_শারীরিক_ভাগ,bahya_sharirik_bhaag
বাহ্য_শারীরিক_অঙ্গ,bahya_sharirik_ang
পাচক,pachak
চূর্ণ,churna
দীর্ঘ_শ্বাস,dirgha_swasa
স্থানচ্যূত,sthanchut
সহনায়িকা,sahanyika
সহনায়ক,sahanayak
অড়হর_ডাল,arhar_dal
বরদান,vardaan
কামারের_চুল্লি,kamarer_culli
চুল্লি,culli
প্রহর,prahar
কিশলয়,kishlaya
নব_পল্লব,nav_pallab
নতুন_পাতা,natun_paataa
পাইকারী_বাজার,picari_bazaar
বাজার,bazaar
সব্জী_বিক্রেতা,sabji_bikreta
সব্জী_ওয়ালা,sabji_wala
ধীবর,dhivar
জেলে,jele
ভক্ষণকারী,bhakshanakari
ভক্ষক,bhakshak
খাদক,khadak
অনুবন্ধকারী,anubandhakari
সম্পর্কস্থাপক,samparkasthapak
সভা_সমাপন,sabha_samapan
সভা_সমাপ্তি,sabha_samapti
ফলদায়ী_বৃক্ষ,faldayi_vruksh
মূল_তত্ত্ব,mul_tattva
বিষধর_সাপ,vishadhar_saap
বিষধর_সর্প,vishadhar_sarp
বিষহীন_সাপ,vishhin_saap
বিষহীন_সর্প,vishhin_sarp
ফণা,fana
সমৃদ্ধিদায়ক,samriddhidayak
সমৃদ্ধিপ্রদ,samrudhiprad
ঐশ্বর্য্যদায়ক,aiswaryadayak
ঐশ্বর্য্যপ্রদ,aiswaryaprad
জন্মোত্সব,janmotsav
জন্মজয়ন্তী,janmajayanti
জয়ন্তী,jayanti
মৃত্যুদিবস,mrityudibs
তিরোধান_দিবস,tirodhan_deebs
মৃত্যু_বার্ষিকী,mrityu_barshiki
খাজনা,khajna
কর,kar
দাদন,dadan
ভূমিরাজস্ব,bhoomirajasav
জন্মসময়,janmasma
জন্মলগ্ন,janmalgn
জন্মকাল,janmakal
কাছে,kache
স্বার্থকেন্দ্রীক,swarthcendrik
স্বার্থপরায়ণ,swarthparayan
স্বার্থান্বেষী,swarthnweshi
সীমান্ত_রক্ষাকারী,simant_rakshakari
সীমা_রক্ষকারী,sima_rakshakari
সীমান্ত_রক্ষক,simant_rakshak
সীমা_রক্ষক,sima_rakshak
কর্মেন্দ্রিয়,karmendriya
সময়,samay
কাল,kaal
জমানা,zamaana
দিন,din
বেলা,bela
দশমী,dashami
দশমী_তিথি,dashami_tithi
একাদশী,ekadashi
অবতারের,avtarer
ত্রয়োদশী,trayodashi
ত্রয়োদশী_তিথি,trayodashi_tithi
দানব,danav
অসুর,asura
সমাপনীয়,samapanian
সমাপ্য,samapya
ঘুঙুর,ghunur
নূপুর,noopur
ঘন্টা,ghanta
ম়ঞ্জীর,zanjee
কানের_ছিদ্র,kaner_chhidra
কর্ণ_ছিদ্র,karna_chhidra
কর্ণ_কুহর,karna_kuhar
অর্ধচন্দ্র,ardhchandra
অর্ধচন্দ্রমা,ardhchandrama
অর্ধ_চন্দ্রমা,ardh_chandrama
অর্ধেক_চাঁদ,ardhek_chand
করলা,kerala
করোলা,karola
করেলা,karela
করল্লা,karalla
প্রয়োজনে,prayojane
কাজে,kaje
কারণে,karna
দেয়,deya
দায়,da
প্রদেয়,pradeya
রথ,rath
স্যন্দন,syandan
স্বল্পায়ু,swalpayu
অল্পায়ু,alpayu
স্বল্প_জীবী,swalp_jivi
আন্তরিক_শক্তি,antarik_shakti
আন্তরিক_তেজ,antarik_tej
আত্ম_শক্তি,aatma_shakti
প্রাণশক্তি,pranashakti
রত্নহার,ratnahar
রত্ন_মালা,ratna_mala
মণি_মালা,mani_mala
রত্নাবলী,ratnabali
মুক্তামালা,muktamala
মুক্তা_মালা,mukta_mala
মুক্তাহার,muktahar
মুক্তা_হার,mukta_haar
মুক্তা_লতা,mukta_lata
মুক্তালতা,muktalata
মুক্তাবলী,muktavali
মুক্তাকলাপ,muktaklap
চেয়ে,chay
যেচে,yeche
যাচনা_করে,yachana_kare
ভিক্ষা_করে,bhiksha_kare
বিনা_চেয়ে,bina_chay
না_চেয়ে,na_chay
যাচনা_না_করে,yachana_na_kare
হাতের_অংশ,hather_aansh
কর_ভাগ,kar_bhaag
হস্ত_ভাগ,hast_bhaag
পাণি_ভাগ,pani_bhaag
গজসেনা,gajasena
হাতিসেনা,hathisena
নবরত্ন,navaratn
নবরত্ন_হার,navaratn_haar
নবরত্নমালা,navaratnmala
সম্বোধক,sambodhak
সম্বোধনকারী,sambodhankari
সেবিত,sevit
অনুবাদক,anubadak
ভাষান্তরকারী,bhashantarkaari
গ্রাম-প্রধান,gram-pradhan
গ্রাম_প্রধান,gram_pradhan
গ্রাম_পতি,gram_pati
গ্রাম_সভাপতি,gram_sabhapati
জনশিক্ষা,janshiksha
শিখা,shikha
অগ্নিশিখা,agnishikha
আঁচ,aanch
ঢোলবাদক,dholbadak
ঢুলি,dhuli
পিছিয়ে_পড়া,pichie_pada
পশ্চাদাগত,pashchadagat
পূণ্যাত্মা,punyatma
ধর্মাত্মা,dharmatma
পূণ্যবান,punyawan
সুদামা,sudama
কংস,kansa
ভোজপতি,bhojpati
কংসাসুর,kansasur
মায়াবান,myavan
একলব্য,ekalvy
কুন্তী,kunti
পৃথা,prutha
সূর্যপ্রিয়া,suryapria
কুব্জা,kubja
কুঁজি,kunji
দেবকী,devaki
বৃকদেবা,vruckdeba
মহাপাপী,mahapapi
পাপাধম,pappadham
মহানীচ,mahanich
পাপিষ্ঠ,papishth
পৃথিবী,prithivi
মর্ত্যলোক,martyalok
সংসার,sansaar
ইহলোক,ihalok
মর্ত্য,martya
পরলোক,parlok
জীবজগত,jivajagat
দুগ্ধজাত,dugdhajat
প্রেমাসক্তি,premasakti
উদ্দেশ্যপূর্বক,uddeshyapurvak
উদ্দেশ্য_নিয়ে,uddeshya_nie
অভিপ্রায়_নিয়ে,abhipraia_nie
খুব_কড়া,khub_kada
খুব_কষা,khub_kasha
অতি_কটূ,ati_katu
তেতো,teto
বাজরা,bajra
ঘটিত,ghatit
সরস্বতী,saraswati
ব্রহ্মনদী,brahmandi
ব্রহ্মসতী,brahmasati
বেদগর্ভা,vedagarbha
সিন্ধুমাতা,sindhumata
ব্রহ্মপুত্রী,brahmaputree
কুটিলা,kutila
নর্মদা,narmada
রেবা,reba
ইন্দুজা,induja
পূর্বগঙ্গা,poorbaganga
সোমোদ্রবা,somodraba
সোমসুতা,somasuta
চিরহরিত্_বন,chiraharit_van
চিরহরিত্_জঙ্গল,chiraharit_jangle
চিরহরিত্_কানন,chiraharit_kanan
চিরহরিত্_অরণ্য,chiraharit_aranya
সঘন_বন,saghan_van
গহন_বন,gahan_van
মহারণ্য,maharanya
কান্তার,kanta
প্রাকৃতিক_স্থান,prakritik_sthan
প্রাকৃতিক_জায়গা,prakritik_jaga
অপ্রাকৃতিক_স্থান,aprakritik_sthan
মানব_নির্মিত_স্থান,maanav_nirmit_sthan
বড়_পাখী,bada_paakhee
বড়_বিহঙ্গ,bada_vihang
মাতৃঋণ,matrarun
স্বোপার্জিত,swoperjeet
স্বয়ম_অধিগত,swayam_adhigat
স্বয়ম_অর্জিত,swayam_arjeeth
স্বার্জিত,swarjeet
অহিংস্র,ahimsr
অহিংস,ahins
পলায়নশীল,palayanashil
শহুরে,shahur
নগর_বাসী,nagar_basi
নগর_নিবাসী,nagar_nivasi
নগর-বাসী,nagar-basi
নগর-নিবাসী,nagar-nivasi
নগরনিবাসী,nagarnivasi
নগরবাসী,nagarbasi
শহরবাসী,shaharbasi
পুরবাসী,purbasi
ছোটো_বোন,chhoto_boon
অনুজা,anuja
কনিষ্ঠা,kanishtha
অনুজাতা,anujatha
পদ্ম,padma
কমল,kamal
অরবিন্দ,arabind
কোকনদ,kokanad
সরোজ,saroj
শতদল,shatdal
সররুহ,sararuh
পুণ্ডরীক,pundarik
উত্পল,utpal
ইন্দিবর,indibar
ছাত্রী,chatri
বিদ্যার্থিনী,vidyarthini
অবলোকিত,avalokit
দৃষ্ট,drust
দেখা,dekha
টিকি,ticke
চৈতন,chitan
অভিনন্দিত,abhinandit
বন্দিত,bandit
শিষ্যা,shishya
ধর্ম,dharma
পুণ্যকর্ম,punyakarm
পবিত্র_কর্ম,pabitra_karm
শিক্ষিকা,shikshika
আচার্যা,acharya
চরণধূলি,charandhuli
পদধূলি,padadhuli
পদরজ,padraj
অল্পসংখ্যক,alpasankhyak
কুঁজ,kunj
কুব্জ,kubj
অনুশাসক,anushasak
চ্যূত,chyut
অপগত,apagat
গত_পরশু,gat_parashu
পরশু,parashu
মহারাণী,maharani
পাটরাণী,patrani
রাজমহিষী,rajmahishi
ভাইঝি,bhaijhi
গুপ্ত_দ্বার,gupta_dwar
চোর_দরজা,chor_darja
গোপন_দরজা,gopan_darja
সদগুরু,sadguru
গুরু,guru
ফেটে_যাওয়া,fete_yawa
ধূপ,dhup
পঁয়তাল্লিশ,paitallish
পাণ্ডব,pandab
ধোপা,dhopa
রজক,rajak
লগা,laga
সহৃদয়_ব্যক্তি,sahrudaya_vyakti
দয়ালু_ব্যক্তি,dayalu_vyakti
লিপিবদ্ধন,lipibdhan
লেখা,lekha
চোখ,cough
অঙ্কুরোদ্গম_বিন্দু,ankurodgam_bindu
অন্তরাল,antaral
মধ্যবর্তী_স্থান,madhyavarti_sthan
মধ্যবর্তী_সময়,madhyavarti_samay
আবিষ্কারক,avishkarak
আবিষ্কর্তা,avishkarta
ধাতু,dhatu
তারা_কুমার,tara_kumar
বালীসূত,valisoot
অঙ্গদ,angad
আঁচল,anchal
অঞ্চল,anchal
অঞ্জলি,anjali
সম্পুট,sampoot
করপুট,karput
করপাত্র,karpatra
আপনার,aapnar
কার্য_সমাপ্তি,carya_samapti
কার্যপূর্তি,caryapurti
কার্য_নিবৃত্তি,carya_nivrutti
কার্য_সিদ্ধি,carya_siddhi
কালান্তরে,kalantare
সময়ান্তরে,samayantare
সীমান্ত_প্রহরী,simant_prahari
সীমা_প্রহরী,sima_prahari
গোপন,gopan
গুপ্ত,gupta
খট্টি,khatti
খাটুলি,khatuli
শবযান,shabayan
শবাধার,shabadhar
শ্মশান,shmshaan
শবদাহ_স্থল,shabdah_sthal
শ্মশানঘাট,shmshanghat
প্রেতভূমি,pretabhumi
অন্ত্যেষ্টি_ক্রিয়া,antyeshti_cria
অন্ত্যেষ্টি,antyeshti
অন্তিম_সংস্কার,antim_sanskar
বেড়ী,bedi
শেকল,shekal
শিকল,shikal
শৃঙ্খল,shrunkhal
চেন,chen
মণ্ডপ,mandap
শঙ্খ,shankh
শাঁখ,shankh
কম্বূ,kambu
অকাল,akal
দুর্ভিক্ষ,durviksh
মন্বন্তর,manbantar
নিচু_কুল,nichu_kul
নিচু_বংশ,nichu_vansh
হীন_কুল,hin_kul
কম্পিউটারের,computore
কম্পিউটারীয়,computari
সংগণকীয়,sanganakian
ঝকঝকে,jhakarke
উজ্জ্বল,ujjval
কান্তিমান,kantiman
জ্যোতিসম্পন্ন,jyotisampann
প্রদীপ্ত,pradipta
অঘটিত,aghatit
অকৃত,akrut
অরচিত,archit
অনির্মিত,anirmit
নির্জন,nirjan
একান্ত,ekanta
নিভৃত,nibhrut
জনশূন্য,janashunya
আগে-আগে,ag-ag
সামনের_দিকে,samaner_dike
রহস্যহীন,rahasyahin
রহস্যাবৃত_নয়_এমন,rahasavrut_naya_eman
অগুঢ়,agurh
অগৌরবজনক_অবস্থা,agauravjanak_avastha
গৌরবহীনতা,gaurvhinta
চিতাগ্নি,chitagni
মুখাগ্নি,mukhagni
ময়লা,maila
নোংরা,nongra
মলিন,malin
অশুচি,ashuchi
দূষিত,dooshit
অশুদ্ধ,ashuddh
নিরুত্তর_হয়ে_যাওয়া,niruttar_hay_yawa
চুপ_হয়ে_যাওয়া,chup_hay_yawa
প্রবিষ্ট,prabishta
অভিনিবেশিত,abhinibeshit
বাহিকা,bahika
বাহী,baahi
আড়াই,arai
পরশু_দিন,parashu_din
মুঠি,muthi
মুঠো,mutho
ভাঙ,bhang
গুলি,guli
চক্রবর্তী,chakravarty
একাধিপতী,ekadhipati
সর্বেশ্বর,sarveshwar
অবিকশিত,avikshit
অস্মিত,asmit
লাউ,lau
অলাবু,alabu
তুম্বী,tumbi
ছোট_কাঁচা_আম,chot_kaanchaa_aam
শুকনো_দাদ,shukno_dad
সুবচন,subachan
ক্রোধহীন,krodhhin
অক্রোধী,akrodhi
প্রসন্নবদন,prasannavadan
নিঃশুল্ক,nickshulk
মুফত,mufat
কৃষিকর্ম,krishikarm
কৃষি_কার্য,krushi_carya
কর্ষণ,karshan
আবেদনকারী,avedankari
প্রার্থী,praarthi
আবেদক,abedak
ফরিয়াদী,fariadi
কীর্তন,kirtan
সংকীর্তন,sankirtan
রেওয়াজ,rewag
গলা_সাধা,gala_saadha
আশীর্বাদ,aashirvad
আশিষ,aashish
পরিবেশন,pariveshan
বাড়া,bada
ছুটির_অনুমতি,chhuti_anumati
অবকাশ_অনুমতি,avakash_anumati
স্নানঘাট,snanagat
অবতীর্ণ,abatirn
দুর্বল,durval
দৈত্য,daitya
রাক্ষস,rakshas
অশোক,ashok
বীতশোক,vitshok
শোকহীনতা,shokahinta
অবসাদহীনতা,avasadahinata
যুদ্ধবন্দী,yudhbandi
অসময়,asamay
ভুল_সময়,bhul_samay
সহোদর,sahodar
ঋণী,runi
অধমর্ণ,adhamarna
কৃপাদৃষ্টি,kripadrushti
আঙ্গিনা,angina
উঠোন,uthon
মূল্য_নির্ধারণ,muly_nirdharan
অপ্রদত্ত_অনুমতি,apradatt_anumati
অপ্রাপ্ত_অনুমতি,aprapth_anumati
ক্রোধ,krodh
দ্রোণাচার্য্য,dronacharyya
বৈদ্য,vaidya
আয়ুর্বেদ_চিকিত্সক,ayurveda_chickitsak
কবিরাজ,kaviraj
নিমন্ত্রণ_পত্র,nimntran_patr
চৌঠা,chautha
চৌঠা_তারিখ,chautha_tarikh
চার_তারিখ,char_tarikh
4,4
তেজস্বিতা,tejasvita
প্রভাবশালিতা,prabhavashalita
সম্বোধন,sambodhan
ব্যস্ত_হওয়া,vyast_haoya
এঁটো_করা,ento_kara
যমজ,yamaj
জুঁই,juddi
যূথী,yuthi
যূথিকা,yuthika
খোঁপা,khopa
কবরী,kabari
শরীরী,shariri
সুখানুভূতি,sukhanubhutha
দুঃখানুভূতি,duhkhanubhutha
উদিত,udit
প্রশংসক,prashansak
অসন্তুষ্ট_হওয়া,asantust_haoya
চাপরাশি,chaprashi
অভিযোক্তা,abhiyokta
অনুযোক্তা,anuyokta
উপাসনালয়,upasanalayas
পূজার_ঘর,pujaar_ghar
উপাসনা_গৃহ,upasana_grih
গুরুকুল,gurukul
আহুতি,ahuti
সদাচারী,sadachari
অনাগত,anagath
সিন্ধু,sindhu
সিন্ধু_নদ,sindhu_nad
পারিতোষিক,paritoshik
পুরস্কার,puraskar
বকশিশ,bakshish
অপরাধ_স্বীকার_করা,aparaadh_swikar_kara
অবতীর্ণ_হওয়া,abatirn_haoya
জিনিসপত্র,jinispatra
দ্রব্যসামগ্রী,dravyasamgri
প্রত্যক্ষদর্শী,pratyakshadarshi
উপদেষ্টা,upadeshta
উপদেশ_প্রদানকারী,upadesh_pradankari
সার্থক,sarthak
ঘাসের_তৈরী,ghaser_tiri
তিনজন,tinjan
হুবহু,hubahu
অনুরূপ,anurup
বিলাসী,vilasi
আয়েশী,ayeshi
ভোগপরায়ণ,bhogaparain
ভোগবিলাসী,bhogavilasi
উলুখল,ulukhl
ধরাশায়ী_হওয়া,dharashayi_haoya
ছুড়ি,chhuri
ছুরিকা,chhurika
কৃপাণ,kripan
খঞ্জর,khanjar
ছোরা,chora
ভোজালি,bhojali
কটূভাষী,katubhashi
মুখরা,mukhra
তিল,til
কণা,kana
কণিকা,kanika
ছোট_কণা,chot_kana
বৃত্তান্ত,vruttanta
বর্ণনা,barnana
চম্পা,champa
চম্পক,champak
কমণ্ডুল,kamandul
অল্প,alp
কম,kam
মারাঠী,marathi
হাত,haath
এক_কোটি,ek_koti
কোটি,koti
10000000,10000000
কলিযুগ,kaliug
কলি_কাল,kali_kaal
কলিযুগীয়,kaliugian
জেলাধিকারিক,jeladhicarik
জেলা_প্রশাসক,jela_prashasak
ব্যভিচারিণী,vyabhicharini
চরিত্রহীনা,charitrahina
মূলমন্ত্র,mulmantras
বিশেষ_পদ্ধতি,visesh_paddhati
বালকৃষ্ণ,balkrishna
বালগোবিন্দ,balgobind
কলস,kalas
কলসী,kalsi
বাল্মিকী,valmiki
বাল্মিকী_মুনি,valmiki_muni
আদিকবি,adiqbi
বাল্মিকী_ঋষি,valmiki_rushi
কোথায়,kotha
কোন_দিকে,kohn_dike
পুঁথিগত,punthigat
বইয়ের,bayer
কাকা,kaka
তাত,taat
আগ্নেয়পর্বত,agneyaparvat
আগ্নেয়গিরি,agneyagiri
বক্তব্য_রাখা,baktavya_rakha
ফসল_কাটা,fasal_kata
কাটাই_করা,katai_kara
প্রশংসা_করা,prashansa_kara
গুণকীর্ত্তন_করা,gunakirttan_kara
কীর্ত্তন_করা,kirttan_kara
কীর্তনীয়া,kirtaniya
রোগা_হওয়া,roga_haoya
ক্ষীণকায়_হওয়া,kshinka_haoya
কর্ণ,karna
সূতপুত্র,sutaputra
কানীন,kanin
রাধেয়,radheya
সূততনয়,sutatanaya
অরুণাত্মজ,arunatmaj
অর্কজ,arkaj
রবিনন্দ,robinanda
রবিনন্দন,robinandan
স্থলচর,sthalchar
স্থলচর_জীব,sthalchar_jiv
অবতার,avatar
দেবাংশধারী,devanshdhari
দ্রৌপদী,draupadi
পাঞ্চালী,panchali
কৃষ্ণা,krishna
যাজ্ঞসেনী,yajdseni
মুক্তবেণী,muktabeni
সৈরন্ধ্রী,sairandhri
বেদিজা,bedija
ত্রিহায়নী,trihyani
কৈকেয়ী,kaikeyi
বন্দী,bandi
কৌরব,kaurav
কুরুবংশীয়,kurubanshin
কৌশল্যা,kaushalya
ঘাতক,ghatak
খুনি,khuni
হত্যাকারী,hatyakari
প্রপিতামহী,prapitamahi
খাট,khat
কেন্দ্রীয়,centrian
কোটর,coter
সংবেদনহর,sanvedanhar
মাসি,masy
মাতৃষ্বসা,matrushvasa
পায়েস,paes
পরমান্ন,paramann
ভরপেট,bharpet
শৌচস্থান,shauchasthan
পালিয়ে_যাওয়া,palie_yawa
ধাবন_করা,dhavan_kara
পলায়ন_করা,palayan_kara
খোঁচানো,khonchano
গ্যাংটক,gantak
গ্যাংটক_শহর,gantak_sahar
কেরল,kerala
মালাবার,malabar
উড়িষ্যা,orissa
উত্কল,utkal
অরূণাচল_প্রদেশ,arunachal_pradesh
অরূণাচল,arunachal
আন্দামান_নিকোবর,andaman_nicobar
আন্দামান_নিকোবর_দ্বীপপুঞ্জ,andaman_nicobar_dwipapunj
গান্ধারী,gandhari
ধৃতরাষ্ট্রী,dhrutarastri
সৌবলী,saubali
গদা,gada
গালগপ্পো,galgappo
আড্ডা,adda
গল্প,galp
উত্তেজিত_হওয়া,uttejit_haoya
গরম_হওয়া,garam_haoya
কীটনাশক,kittnashak
পার_করা,paar_kara
খুব_বড়,khub_bada
মহান,mahan
বড়,bada
গৃহস্থ,grihasth
গোত্র,gotra
গৌরবর্ণা,gaurbarna
প্রণাম,pranam
প্রাপক,prapak
ক্লাস,class
ঘণ্টা,ghanta
দণ্ড,dand
ঘাট,ghat
ঘুঁঙুর,ghunur
ঘুঁমুর,ghumur
ঘুঁঙ্গুর,ghungu
চাঁপা,chanpa
ক্ষুন্ন_হওয়া,khunn_haoya
রেগে_যাওয়া,reg_yawa
গর্বিত_হওয়া,garvit_haoya
ফুলে_যাওয়া,phule_yawa
অহংকারী_হওয়া,ahankaari_haoya
আত্মাহুতি_দেওয়া,atmahuti_dewa
আত্মোত্সর্গ_করা,atmotsarg_kara
আত্মবলিদান_করা,atmabalidan_kara
চড়া,chada
সওয়ার_হওয়া,sawyar_haoya
প্রবল,prabal
নেশা_হওয়া,nesha_haoya
গভীরতার_মাপ,gabhirtar_tape
চামড়া,chamada
ত্বক,tvak
কাকিমা,kakima
চাতক,chatak
ওড়না,odhna
উদ্ঘাটিত,udghatit
ভাত,bhaat
আগ্রহী_হওয়া,aagrahi_haoya
উত্সাহী_হওয়া,utsahi_haoya
তিলক,tilak
টিকা,tika
মুদ্রা_চিহ্ন,mudra_chihn
বিস্ফারিত_করা,vispharit_kara
ভোটদান,bhotdan
ভোটপ্রদান,bhotpradaan
ছাঁকা,chhanka
যমুনা,yamuna
কালিন্দী,kalindi
অরুণাত্মজা,arunatmaja
ভানুজা,bhanuja
সূর্যসুতা,suryasuta
যমানুজা,yamanuja
অর্কজা,arkaja
জাম,jam
কর্ণাটকি,karnatkai
ছুটি_নেওয়া,chhuti_newa
অনুজ,anuj
ছোট,chot
কনিষ্ঠ,kanishth
নীচে_ফেলা,niche_phela
ঝুরি,jhuri
জনক,janaka
রাজা_জনক,raja_janaka
মিথিলেশ,mithilesh
মৈথিল,maithil
বিদেহ,bideh
নিমিরাজ,nimiraj
মিথিল,mithil
যখন,yakhan
জমায়েত,jamayet
জলরাশি,jalrashi
সকালে,sakale
সকাল_সকাল,sakal_sakal
চাষযোগ্য_জমি,chassyogya_jami
চাষের_জমি,chasser_jami
কৃষিজমি,krishijmi
মহিলা_চোর,mahila_chor
অহংকার_প্রকাশ_করা,ahankar_prakash_kara
গর্ব_প্রকাশ_করা,garb_prakash_kara
যতটা,yatta
যত,yat
খাপ_খাওয়া,khaps_khawa
প্রতিবেশী,pratibeshi
দোলনায়_দোলা,dolna_dola
ঝুলন্ত,jhulant
খড়ম,khaalm
উথলানো,uthlano
যাতায়াত,yatayat
আসা_যাওয়া,aasa_yawa
নৌকাঘাট,naukaghat
ঠাণ্ডা,thanda
শান্ত,shanta
ফলের_বাগান,faler_bagan
ফলের_উদ্যান,faler_udyan
ছিদ্রহীন,chhidrahin
নিশ্ছিদ্র,nishsidra
ডমরু,domaru
ডুগডুগি,dugadugi
আমলকী,amalki
আমলা,aamla
তপস্যা,thapasya
তপ,tap
তপস্যা_করা,thapasya_kara
নিয়মসম্মত,niamasammat
বিধিপূর্বক,bidhipurvak
নিয়ম_মতো,niyam_mato
তান,taan
বলিষ্ঠতা,balishtta
হতাশ_হওয়া,hatash_haoya
হত�,hat�
বেতালা,betala
তালবিহীন,talvihin
প্রতাপশালী,pratapshali
পরাক্রমী,parakrami
দাম্পত্য,dampaty
ঠাকুর্দা,thakurda
দাদু,dadu
পিতামহ,pitamah
ঘড়া,ghada
ভয়ঙ্কর,bhayankar
পাঁপড়,papad
দুধের,dudher
দুধযুক্ত,dudhyukt
দৃঢ়প্রতিজ্ঞ,drudhpratijna
অনেক,anek
পায়ে_হেঁটে,pay_hent
বেল,bel
শ্রীফল,triphal
যুধিষ্ঠির,yudhishtir
ধর্মপুত্র,dharmaputra
নাগাল্যাণ্ড,nagaland
স্থান,sthan
জায়গা,jaga
ভাব_থাকা,bhav_thaka
মানুষ_চেনার_ক্ষমতা,maanush_chener_kshamata
নজর,najar
পরখ,parakh
পরীক্ষার_ফল,parikshar_fal
ননদ,nanad
ননদিনী,nandini
নমস্কার,namaskar
সেলাম,selam
নল,nal
নাগ_জাতি,nag_jaati
নাগ,nag
নাতি,nati
পৌত্র,pautra
গৃহ_বিজ্ঞান,grih_vigyan
হোম_সায়েন্স,home_science
লোকসভা,loksabha
নিম্নকক্ষ,nimnakaksh
হাতের_আভূষণ,hather_abhushan
হাতের_গয়না,hather_gayna
হাতের_অলংকার,hather_alankar
বিষাদ,vishad
অবসাদ,avasad
দশরথ,dashrath
রাজা_দশরথ,raja_dashrath
অবধেশ,awdhesh
সুমিত্রা,sumitra
মিত্রা,mitra
মিত্রী,mitri
আঁচিয়ে_দেওয়া,anchie_dewa
বাপের_বাড়ি,baper_bari
মায়ের_বাড়ি,mayer_bari
ওঠবোস,othbos
ডন_বৈঠক,don_baithak
রেশমী,reshmi
সিল্ক,silk
চিঁড়ে,chinde
চিঁড়া,chinda
পান,pan
তাম্বুল,tambul
পরজীবি_উদ্ভিদ,parajibi_udvid
নরপিশাচ,narpishach
পাঠ,path
ভূগর্ভ,bhugarbha
অনুগামী,anugami
পিতৃপুরুষ,pitrupurush
পূর্বপুরুষ,purvapurush
